Age,Country,Gender,Region,Total or Difference,Year,Literacy rate,Number of Records
15+,Peru,male,Latin America and the Caribbean,Total,2014,96.95%,1
15+,Uruguay,male,Latin America and the Caribbean,Total,2014,98.03%,1
15+,Antigua and Barbuda,male,Latin America and the Caribbean,Total,2015,98.40%,1
15+,Argentina,male,Latin America and the Caribbean,Total,2015,99.15%,1
15+,Bolivia (Plurinational State of),male,Latin America and the Caribbean,Total,2015,96.52%,1
15+,Brazil,male,Latin America and the Caribbean,Total,2015,91.73%,1
15+,Chile,male,Latin America and the Caribbean,Total,2015,97.02%,1
15+,Colombia,male,Latin America and the Caribbean,Total,2015,94.06%,1
15+,Dominican Republic,male,Latin America and the Caribbean,Total,2015,91.65%,1
15+,Ecuador,male,Latin America and the Caribbean,Total,2015,95.73%,1
15+,El Salvador,male,Latin America and the Caribbean,Total,2015,90.01%,1
15+,Honduras,male,Latin America and the Caribbean,Total,2015,87.92%,1
15+,Mexico,male,Latin America and the Caribbean,Total,2015,95.55%,1
15+,Nicaragua,male,Latin America and the Caribbean,Total,2015,82.44%,1
15+,Paraguay,male,Latin America and the Caribbean,Total,2015,96.25%,1
15+,Peru,male,Latin America and the Caribbean,Total,2015,97.11%,1
15+,Uruguay,male,Latin America and the Caribbean,Total,2015,98.15%,1
15+,Venezuela (Bolivarian Republic of),male,Latin America and the Caribbean,Total,2015,96.65%,1
15+,Argentina,male,Latin America and the Caribbean,Total,2016,99.10%,1
15+,Brazil,male,Latin America and the Caribbean,Total,2016,92.58%,1
15+,Colombia,male,Latin America and the Caribbean,Total,2016,94.40%,1
15+,Dominican Republic,male,Latin America and the Caribbean,Total,2016,93.79%,1
15+,Ecuador,male,Latin America and the Caribbean,Total,2016,95.45%,1
15+,El Salvador,male,Latin America and the Caribbean,Total,2016,90.30%,1
15+,Haiti,male,Latin America and the Caribbean,Total,2016,65.28%,1
15+,Honduras,male,Latin America and the Caribbean,Total,2016,89.05%,1
15+,Mexico,male,Latin America and the Caribbean,Total,2016,95.84%,1
15+,Paraguay,male,Latin America and the Caribbean,Total,2016,95.48%,1
15+,Peru,male,Latin America and the Caribbean,Total,2016,97.19%,1
15+,Uruguay,male,Latin America and the Caribbean,Total,2016,98.24%,1
15+,Venezuela (Bolivarian Republic of),male,Latin America and the Caribbean,Total,2016,97.04%,1
15+,Brazil,male,Latin America and the Caribbean,Total,2017,92.89%,1
15+,Chile,male,Latin America and the Caribbean,Total,2017,96.48%,1
15+,Ecuador,male,Latin America and the Caribbean,Total,2017,93.78%,1
15+,El Salvador,male,Latin America and the Caribbean,Total,2017,90.63%,1
15+,Mexico,male,Latin America and the Caribbean,Total,2017,95.87%,1
15+,Peru,male,Latin America and the Caribbean,Total,2017,97.04%,1
15+,Puerto Rico,male,Latin America and the Caribbean,Total,2017,92.39%,1
15+,Uruguay,male,Latin America and the Caribbean,Total,2017,98.23%,1
15+,Argentina,male,Latin America and the Caribbean,Total,2018,98.94%,1
15+,Aruba,male,Latin America and the Caribbean,Total,2018,97.80%,1
15+,Brazil,male,Latin America and the Caribbean,Total,2018,93.01%,1
15+,Colombia,male,Latin America and the Caribbean,Total,2018,94.85%,1
15+,Costa Rica,male,Latin America and the Caribbean,Total,2018,97.80%,1
15+,Honduras,male,Latin America and the Caribbean,Total,2018,87.14%,1
15+,Mexico,male,Latin America and the Caribbean,Total,2018,96.23%,1
15+,Panama,male,Latin America and the Caribbean,Total,2018,95.97%,1
15+,Paraguay,male,Latin America and the Caribbean,Total,2018,94.51%,1
15+,Peru,male,Latin America and the Caribbean,Total,2018,97.12%,1
15+,Suriname,male,Latin America and the Caribbean,Total,2018,96.07%,1
15+,Uruguay,male,Latin America and the Caribbean,Total,2018,98.37%,1
15+,Azerbaijan,male,Northern Africa and Western Asia,Total,2010,99.85%,1
15+,Bahrain,male,Northern Africa and Western Asia,Total,2010,92.15%,1
15+,Egypt,male,Northern Africa and Western Asia,Total,2010,80.27%,1
15+,Jordan,male,Northern Africa and Western Asia,Total,2010,95.77%,1
15+,Kuwait,male,Northern Africa and Western Asia,Total,2010,95.55%,1
15+,Oman,male,Northern Africa and Western Asia,Total,2010,90.24%,1
15+,Palestine,male,Northern Africa and Western Asia,Total,2010,97.63%,1
15+,Tunisia,male,Northern Africa and Western Asia,Total,2010,87.38%,1
15+,Turkey,male,Northern Africa and Western Asia,Total,2010,97.30%,1
15+,Armenia,male,Northern Africa and Western Asia,Total,2011,99.81%,1
15+,Azerbaijan,male,Northern Africa and Western Asia,Total,2011,99.86%,1
15+,Cyprus,male,Northern Africa and Western Asia,Total,2011,99.29%,1
15+,Jordan,male,Northern Africa and Western Asia,Total,2011,97.75%,1
15+,Morocco,male,Northern Africa and Western Asia,Total,2011,76.07%,1
15+,Palestine,male,Northern Africa and Western Asia,Total,2011,97.86%,1
15+,Tunisia,male,Northern Africa and Western Asia,Total,2011,87.76%,1
15+,Turkey,male,Northern Africa and Western Asia,Total,2011,97.93%,1
15+,Azerbaijan,male,Northern Africa and Western Asia,Total,2012,99.85%,1
15+,Egypt,male,Northern Africa and Western Asia,Total,2012,81.68%,1
15+,Jordan,male,Northern Africa and Western Asia,Total,2012,98.44%,1
15+,Kuwait,male,Northern Africa and Western Asia,Total,2012,95.84%,1
15+,Morocco,male,Northern Africa and Western Asia,Total,2012,80.38%,1
15+,Palestine,male,Northern Africa and Western Asia,Total,2012,98.19%,1
15+,Tunisia,male,Northern Africa and Western Asia,Total,2012,88.48%,1
15+,Turkey,male,Northern Africa and Western Asia,Total,2012,98.26%,1
15+,Azerbaijan,male,Northern Africa and Western Asia,Total,2013,99.87%,1
15+,Egypt,male,Northern Africa and Western Asia,Total,2013,82.63%,1
15+,Iraq,male,Northern Africa and Western Asia,Total,2013,53.01%,1
15+,Kuwait,male,Northern Africa and Western Asia,Total,2013,96.35%,1
15+,Palestine,male,Northern Africa and Western Asia,Total,2013,98.39%,1
15+,Qatar,male,Northern Africa and Western Asia,Total,2013,90.34%,1
15+,Saudi Arabia,male,Northern Africa and Western Asia,Total,2013,96.53%,1
15+,Turkey,male,Northern Africa and Western Asia,Total,2013,98.40%,1
15+,Azerbaijan,male,Northern Africa and Western Asia,Total,2014,99.86%,1
15+,Georgia,male,Northern Africa and Western Asia,Total,2014,99.67%,1
15+,Oman,male,Northern Africa and Western Asia,Total,2014,94.99%,1
15+,Palestine,male,Northern Africa and Western Asia,Total,2014,98.40%,1
15+,Qatar,male,Northern Africa and Western Asia,Total,2014,91.05%,1
15+,Tunisia,male,Northern Africa and Western Asia,Total,2014,86.06%,1
15+,Turkey,male,Northern Africa and Western Asia,Total,2014,98.50%,1
15+,Azerbaijan,male,Northern Africa and Western Asia,Total,2015,99.86%,1
15+,Kuwait,male,Northern Africa and Western Asia,Total,2015,96.39%,1
15+,Oman,male,Northern Africa and Western Asia,Total,2015,96.63%,1
15+,Palestine,male,Northern Africa and Western Asia,Total,2015,98.48%,1
15+,Turkey,male,Northern Africa and Western Asia,Total,2015,98.58%,1
15+,Azerbaijan,male,Northern Africa and Western Asia,Total,2016,99.86%,1
15+,Bahrain,male,Northern Africa and Western Asia,Total,2016,98.55%,1
15+,Oman,male,Northern Africa and Western Asia,Total,2016,96.63%,1
15+,Palestine,male,Northern Africa and Western Asia,Total,2016,98.61%,1
15+,Qatar,male,Northern Africa and Western Asia,Total,2016,92.88%,1
15+,Turkey,male,Northern Africa and Western Asia,Total,2016,98.78%,1
15+,Armenia,male,Northern Africa and Western Asia,Total,2017,99.81%,1
15+,Azerbaijan,male,Northern Africa and Western Asia,Total,2017,99.86%,1
15+,Bahrain,male,Northern Africa and Western Asia,Total,2017,98.77%,1
15+,Egypt,male,Northern Africa and Western Asia,Total,2017,76.50%,1
15+,Georgia,male,Northern Africa and Western Asia,Total,2017,99.44%,1
15+,Kuwait,male,Northern Africa and Western Asia,Total,2017,96.70%,1
15+,Oman,male,Northern Africa and Western Asia,Total,2017,97.02%,1
15+,Qatar,male,Northern Africa and Western Asia,Total,2017,93.14%,1
15+,Saudi Arabia,male,Northern Africa and Western Asia,Total,2017,97.10%,1
15+,Turkey,male,Northern Africa and Western Asia,Total,2017,98.82%,1
15+,Algeria,male,Northern Africa and Western Asia,Total,2018,87.42%,1
15+,Bahrain,male,Northern Africa and Western Asia,Total,2018,98.76%,1
15+,Iraq,male,Northern Africa and Western Asia,Total,2018,56.24%,1
15+,Jordan,male,Northern Africa and Western Asia,Total,2018,98.61%,1
15+,Kuwait,male,Northern Africa and Western Asia,Total,2018,96.67%,1
15+,Lebanon,male,Northern Africa and Western Asia,Total,2018,96.85%,1
15+,Morocco,male,Northern Africa and Western Asia,Total,2018,83.30%,1
15+,Oman,male,Northern Africa and Western Asia,Total,2018,96.99%,1
15+,Palestine,male,Northern Africa and Western Asia,Total,2018,98.66%,1
15+,Sudan,male,Northern Africa and Western Asia,Total,2018,65.44%,1
15+,Papua New Guinea,male,Oceania,Total,2010,65.29%,1
15+,Marshall Islands,male,Oceania,Total,2011,98.33%,1
15+,Samoa,male,Oceania,Total,2011,98.88%,1
15+,Tonga,male,Oceania,Total,2011,99.34%,1
15+,Palau,male,Oceania,Total,2013,99.47%,1
15+,New Caledonia,male,Oceania,Total,2014,98.14%,1
15+,Vanuatu,male,Oceania,Total,2014,86.18%,1
15+,Palau,male,Oceania,Total,2015,96.81%,1
15+,Fiji,male,Oceania,Total,2017,99.08%,1
15+,Samoa,male,Oceania,Total,2018,98.96%,1
15+,Tonga,male,Oceania,Total,2018,99.35%,1
15+,Vanuatu,male,Oceania,Total,2018,88.31%,1
15+,Cameroon,male,Sub-Saharan Africa,Total,2010,78.33%,1
15+,Central African Republic,male,Sub-Saharan Africa,Total,2010,50.71%,1
15+,Equatorial Guinea,male,Sub-Saharan Africa,Total,2010,97.18%,1
15+,Ghana,male,Sub-Saharan Africa,Total,2010,78.35%,1
15+,Guinea,male,Sub-Saharan Africa,Total,2010,36.79%,1
15+,Malawi,male,Sub-Saharan Africa,Total,2010,72.10%,1
15+,Mali,male,Sub-Saharan Africa,Total,2010,43.40%,1
15+,Rwanda,male,Sub-Saharan Africa,Total,2010,71.13%,1
15+,Seychelles,male,Sub-Saharan Africa,Total,2010,93.46%,1
15+,South Africa,male,Sub-Saharan Africa,Total,2010,94.14%,1
15+,Swaziland,male,Sub-Saharan Africa,Total,2010,83.90%,1
15+,Uganda,male,Sub-Saharan Africa,Total,2010,82.63%,1
15+,United Republic of Tanzania,male,Sub-Saharan Africa,Total,2010,75.47%,1
15+,Zambia,male,Sub-Saharan Africa,Total,2010,88.68%,1
15+,Congo,male,Sub-Saharan Africa,Total,2011,86.43%,1
15+,Mali,male,Sub-Saharan Africa,Total,2011,43.27%,1
15+,Mauritius,male,Sub-Saharan Africa,Total,2011,91.95%,1
15+,Namibia,male,Sub-Saharan Africa,Total,2011,88.63%,1
15+,Senegal,male,Sub-Saharan Africa,Total,2011,66.34%,1
15+,South Africa,male,Sub-Saharan Africa,Total,2011,94.25%,1
15+,Togo,male,Sub-Saharan Africa,Total,2011,74.06%,1
15+,Zimbabwe,male,Sub-Saharan Africa,Total,2011,87.76%,1
15+,Benin,male,Sub-Saharan Africa,Total,2012,44.96%,1
15+,Cabo Verde,male,Sub-Saharan Africa,Total,2012,90.47%,1
15+,Comoros,male,Sub-Saharan Africa,Total,2012,56.48%,1
15+,Côte d'Ivoire,male,Sub-Saharan Africa,Total,2012,51.59%,1
15+,Democratic Republic of the Congo,male,Sub-Saharan Africa,Total,2012,87.91%,1
15+,Gabon,male,Sub-Saharan Africa,Total,2012,84.87%,1
15+,Madagascar,male,Sub-Saharan Africa,Total,2012,75.03%,1
15+,Mauritius,male,Sub-Saharan Africa,Total,2012,94.65%,1
15+,Niger,male,Sub-Saharan Africa,Total,2012,39.06%,1
15+,Rwanda,male,Sub-Saharan Africa,Total,2012,72.45%,1
15+,Sao Tome and Principe,male,Sub-Saharan Africa,Total,2012,94.96%,1
15+,South Africa,male,Sub-Saharan Africa,Total,2012,94.96%,1
15+,Uganda,male,Sub-Saharan Africa,Total,2012,79.12%,1
15+,United Republic of Tanzania,male,Sub-Saharan Africa,Total,2012,83.38%,1
15+,Botswana,male,Sub-Saharan Africa,Total,2013,86.12%,1
15+,Gambia,male,Sub-Saharan Africa,Total,2013,51.42%,1
15+,Mauritius,male,Sub-Saharan Africa,Total,2013,94.04%,1
15+,Senegal,male,Sub-Saharan Africa,Total,2013,52.80%,1
15+,Sierra Leone,male,Sub-Saharan Africa,Total,2013,41.33%,1
15+,Angola,male,Sub-Saharan Africa,Total,2014,79.97%,1
15+,Botswana,male,Sub-Saharan Africa,Total,2014,86.74%,1
15+,Burkina Faso,male,Sub-Saharan Africa,Total,2014,44.38%,1
15+,Burundi,male,Sub-Saharan Africa,Total,2014,69.69%,1
15+,Côte d'Ivoire,male,Sub-Saharan Africa,Total,2014,50.70%,1
15+,Equatorial Guinea,male,Sub-Saharan Africa,Total,2014,97.29%,1
15+,Guinea,male,Sub-Saharan Africa,Total,2014,43.64%,1
15+,Guinea-Bissau,male,Sub-Saharan Africa,Total,2014,62.16%,1
15+,Kenya,male,Sub-Saharan Africa,Total,2014,83.78%,1
15+,Lesotho,male,Sub-Saharan Africa,Total,2014,67.75%,1
15+,Malawi,male,Sub-Saharan Africa,Total,2014,75.98%,1
15+,Mauritius,male,Sub-Saharan Africa,Total,2014,94.77%,1
15+,Rwanda,male,Sub-Saharan Africa,Total,2014,76.15%,1
15+,South Africa,male,Sub-Saharan Africa,Total,2014,95.29%,1
15+,Zimbabwe,male,Sub-Saharan Africa,Total,2014,89.19%,1
15+,Cabo Verde,male,Sub-Saharan Africa,Total,2015,91.69%,1
15+,Chad,male,Sub-Saharan Africa,Total,2015,38.92%,1
15+,Gambia,male,Sub-Saharan Africa,Total,2015,61.77%,1
15+,Malawi,male,Sub-Saharan Africa,Total,2015,69.75%,1
15+,Mali,male,Sub-Saharan Africa,Total,2015,45.07%,1
15+,Mauritius,male,Sub-Saharan Africa,Total,2015,94.86%,1
15+,Mozambique,male,Sub-Saharan Africa,Total,2015,70.76%,1
15+,South Africa,male,Sub-Saharan Africa,Total,2015,95.40%,1
15+,Togo,male,Sub-Saharan Africa,Total,2015,77.26%,1
15+,United Republic of Tanzania,male,Sub-Saharan Africa,Total,2015,83.20%,1
15+,Chad,male,Sub-Saharan Africa,Total,2016,31.33%,1
15+,Democratic Republic of the Congo,male,Sub-Saharan Africa,Total,2016,88.52%,1
15+,Mauritius,male,Sub-Saharan Africa,Total,2016,95.44%,1
15+,Burundi,male,Sub-Saharan Africa,Total,2017,76.30%,1
15+,Ethiopia,male,Sub-Saharan Africa,Total,2017,59.24%,1
15+,Liberia,male,Sub-Saharan Africa,Total,2017,62.70%,1
15+,Mauritania,male,Sub-Saharan Africa,Total,2017,63.75%,1
15+,Mozambique,male,Sub-Saharan Africa,Total,2017,72.60%,1
15+,Senegal,male,Sub-Saharan Africa,Total,2017,64.81%,1
15+,South Africa,male,Sub-Saharan Africa,Total,2017,87.68%,1
15+,Benin,male,Sub-Saharan Africa,Total,2018,53.98%,1
15+,Burkina Faso,male,Sub-Saharan Africa,Total,2018,50.07%,1
15+,Cameroon,male,Sub-Saharan Africa,Total,2018,82.63%,1
15+,Central African Republic,male,Sub-Saharan Africa,Total,2018,49.51%,1
15+,Comoros,male,Sub-Saharan Africa,Total,2018,64.64%,1
15+,Congo,male,Sub-Saharan Africa,Total,2018,86.08%,1
15+,Côte d'Ivoire,male,Sub-Saharan Africa,Total,2018,53.66%,1
15+,Eritrea,male,Sub-Saharan Africa,Total,2018,84.37%,1
15+,Gabon,male,Sub-Saharan Africa,Total,2018,85.85%,1
15+,Ghana,male,Sub-Saharan Africa,Total,2018,83.52%,1
15+,Kenya,male,Sub-Saharan Africa,Total,2018,84.99%,1
15+,Madagascar,male,Sub-Saharan Africa,Total,2018,77.28%,1
15+,Mali,male,Sub-Saharan Africa,Total,2018,46.18%,1
15+,Mauritius,male,Sub-Saharan Africa,Total,2018,93.36%,1
15+,Namibia,male,Sub-Saharan Africa,Total,2018,91.63%,1
15+,Nigeria,male,Sub-Saharan Africa,Total,2018,71.26%,1
15+,Rwanda,male,Sub-Saharan Africa,Total,2018,77.56%,1
15+,Sao Tome and Principe,male,Sub-Saharan Africa,Total,2018,96.16%,1
15+,Seychelles,male,Sub-Saharan Africa,Total,2018,95.41%,1
15+,Sierra Leone,male,Sub-Saharan Africa,Total,2018,51.65%,1
15+,South Sudan,male,Sub-Saharan Africa,Total,2018,40.26%,1
15+,Swaziland,male,Sub-Saharan Africa,Total,2018,88.29%,1
15+,Uganda,male,Sub-Saharan Africa,Total,2018,82.66%,1
15+,Zambia,male,Sub-Saharan Africa,Total,2018,90.60%,1
15-24,Russian Federation,male,Europe and Northern America,Total,2010,99.66%,1
15-24,Spain,male,Europe and Northern America,Total,2010,99.51%,1
15-24,Greece,male,Europe and Northern America,Total,2011,98.73%,1
15-24,Italy,male,Europe and Northern America,Total,2011,99.85%,1
15-24,Latvia,male,Europe and Northern America,Total,2011,99.80%,1
15-24,Lithuania,male,Europe and Northern America,Total,2011,99.85%,1
15-24,Malta,male,Europe and Northern America,Total,2011,98.40%,1
15-24,Montenegro,male,Europe and Northern America,Total,2011,99.36%,1
15-24,Portugal,male,Europe and Northern America,Total,2011,99.39%,1
15-24,Romania,male,Europe and Northern America,Total,2011,99.01%,1
15-24,Serbia,male,Europe and Northern America,Total,2011,99.35%,1
15-24,Spain,male,Europe and Northern America,Total,2011,99.65%,1
15-24,Republic of Moldova,male,Europe and Northern America,Total,2012,99.34%,1
15-24,Spain,male,Europe and Northern America,Total,2012,99.64%,1
15-24,Ukraine,male,Europe and Northern America,Total,2012,99.96%,1
15-24,Spain,male,Europe and Northern America,Total,2013,99.69%,1
15-24,Hungary,male,Europe and Northern America,Total,2014,98.69%,1
15-24,Republic of Moldova,male,Europe and Northern America,Total,2014,99.81%,1
15-24,Slovenia,male,Europe and Northern America,Total,2014,99.79%,1
15-24,Spain,male,Europe and Northern America,Total,2014,99.76%,1
15-24,The former Yugoslav Republic of Macedonia,male,Europe and Northern America,Total,2014,98.76%,1
15-24,Spain,male,Europe and Northern America,Total,2015,99.62%,1
15-24,Serbia,male,Europe and Northern America,Total,2016,99.72%,1
15-24,Spain,male,Europe and Northern America,Total,2016,99.64%,1
15-24,Italy,male,Europe and Northern America,Total,2018,99.92%,1
15-24,Malta,male,Europe and Northern America,Total,2018,99.06%,1
15-24,Montenegro,male,Europe and Northern America,Total,2018,99.23%,1
15-24,Portugal,male,Europe and Northern America,Total,2018,99.63%,1
15-24,Romania,male,Europe and Northern America,Total,2018,99.42%,1
15-24,Russian Federation,male,Europe and Northern America,Total,2018,99.65%,1
15-24,San Marino,male,Europe and Northern America,Total,2018,100.00%,1
15-24,Serbia,male,Europe and Northern America,Total,2018,98.41%,1
15-24,Spain,male,Europe and Northern America,Total,2018,99.69%,1
15-24,Argentina,male,Latin America and the Caribbean,Total,2010,99.01%,1
15-24,Aruba,male,Latin America and the Caribbean,Total,2010,98.97%,1
15-24,Brazil,male,Latin America and the Caribbean,Total,2010,96.72%,1
15-24,Colombia,male,Latin America and the Caribbean,Total,2010,97.68%,1
15-24,Dominican Republic,male,Latin America and the Caribbean,Total,2010,95.78%,1
15-24,Ecuador,male,Latin America and the Caribbean,Total,2010,98.47%,1
15-24,El Salvador,male,Latin America and the Caribbean,Total,2010,95.67%,1
15-24,Honduras,male,Latin America and the Caribbean,Total,2010,94.45%,1
15-24,Mexico,male,Latin America and the Caribbean,Total,2010,98.38%,1
15-24,Panama,male,Latin America and the Caribbean,Total,2010,97.93%,1
15-24,Paraguay,male,Latin America and the Caribbean,Total,2010,98.50%,1
15-24,Puerto Rico,male,Latin America and the Caribbean,Total,2010,98.81%,1
15-24,Suriname,male,Latin America and the Caribbean,Total,2010,97.97%,1
15-24,Trinidad and Tobago,male,Latin America and the Caribbean,Total,2010,99.55%,1
15-24,Uruguay,male,Latin America and the Caribbean,Total,2010,98.36%,1
15-24,Argentina,male,Latin America and the Caribbean,Total,2011,99.55%,1
15-24,Bolivia (Plurinational State of),male,Latin America and the Caribbean,Total,2011,99.25%,1
15-24,Brazil,male,Latin America and the Caribbean,Total,2011,97.91%,1
15-24,Chile,male,Latin America and the Caribbean,Total,2011,99.21%,1
15-24,Colombia,male,Latin America and the Caribbean,Total,2011,97.76%,1
15-24,Costa Rica,male,Latin America and the Caribbean,Total,2011,99.01%,1
15-24,Dominican Republic,male,Latin America and the Caribbean,Total,2011,96.09%,1
15-24,Ecuador,male,Latin America and the Caribbean,Total,2011,98.59%,1
15-24,El Salvador,male,Latin America and the Caribbean,Total,2011,96.15%,1
15-24,Honduras,male,Latin America and the Caribbean,Total,2011,94.93%,1
15-24,Mexico,male,Latin America and the Caribbean,Total,2011,98.42%,1
15-24,Uruguay,male,Latin America and the Caribbean,Total,2011,98.61%,1
15-24,Venezuela (Bolivarian Republic of),male,Latin America and the Caribbean,Total,2011,96.89%,1
15-24,Argentina,male,Latin America and the Caribbean,Total,2012,99.14%,1
15-24,Bolivia (Plurinational State of),male,Latin America and the Caribbean,Total,2012,99.16%,1
15-24,Brazil,male,Latin America and the Caribbean,Total,2012,98.23%,1
15-24,Cuba,male,Latin America and the Caribbean,Total,2012,99.86%,1
15-24,Dominican Republic,male,Latin America and the Caribbean,Total,2012,96.32%,1
15-24,Ecuador,male,Latin America and the Caribbean,Total,2012,98.77%,1
15-24,Guatemala,male,Latin America and the Caribbean,Total,2012,95.47%,1
15-24,Honduras,male,Latin America and the Caribbean,Total,2012,94.00%,1
15-24,Mexico,male,Latin America and the Caribbean,Total,2012,98.72%,1
15-24,Paraguay,male,Latin America and the Caribbean,Total,2012,98.25%,1
15-24,Peru,male,Latin America and the Caribbean,Total,2012,98.72%,1
15-24,Suriname,male,Latin America and the Caribbean,Total,2012,98.09%,1
15-24,Uruguay,male,Latin America and the Caribbean,Total,2012,98.63%,1
15-24,Argentina,male,Latin America and the Caribbean,Total,2013,99.51%,1
15-24,Brazil,male,Latin America and the Caribbean,Total,2013,98.25%,1
15-24,Chile,male,Latin America and the Caribbean,Total,2013,99.01%,1
15-24,Dominican Republic,male,Latin America and the Caribbean,Total,2013,96.76%,1
15-24,Ecuador,male,Latin America and the Caribbean,Total,2013,98.58%,1
15-24,El Salvador,male,Latin America and the Caribbean,Total,2013,96.95%,1
15-24,Guatemala,male,Latin America and the Caribbean,Total,2013,94.18%,1
15-24,Honduras,male,Latin America and the Caribbean,Total,2013,93.85%,1
15-24,Mexico,male,Latin America and the Caribbean,Total,2013,98.53%,1
15-24,Paraguay,male,Latin America and the Caribbean,Total,2013,98.60%,1
15-24,Uruguay,male,Latin America and the Caribbean,Total,2013,98.56%,1
15-24,Argentina,male,Latin America and the Caribbean,Total,2014,99.20%,1
15-24,Barbados,male,Latin America and the Caribbean,Total,2014,99.92%,1
15-24,Brazil,male,Latin America and the Caribbean,Total,2014,98.45%,1
15-24,Colombia,male,Latin America and the Caribbean,Total,2014,98.11%,1
15-24,Dominican Republic,male,Latin America and the Caribbean,Total,2014,97.35%,1
15-24,Ecuador,male,Latin America and the Caribbean,Total,2014,99.01%,1
15-24,Grenada,male,Latin America and the Caribbean,Total,2014,98.95%,1
15-24,Guadeloupe,male,Latin America and the Caribbean,Total,2014,99.82%,1
15-24,Guatemala,male,Latin America and the Caribbean,Total,2014,95.48%,1
15-24,Guyana,male,Latin America and the Caribbean,Total,2014,96.33%,1
15-24,Honduras,male,Latin America and the Caribbean,Total,2014,95.05%,1
15-24,Jamaica,male,Latin America and the Caribbean,Total,2014,93.86%,1
15-24,Martinique,male,Latin America and the Caribbean,Total,2014,99.88%,1
15-24,Mexico,male,Latin America and the Caribbean,Total,2014,98.92%,1
15-24,Paraguay,male,Latin America and the Caribbean,Total,2014,98.96%,1
15-24,Peru,male,Latin America and the Caribbean,Total,2014,99.16%,1
15-24,Uruguay,male,Latin America and the Caribbean,Total,2014,98.31%,1
15-24,Argentina,male,Latin America and the Caribbean,Total,2015,99.48%,1
15-24,Bolivia (Plurinational State of),male,Latin America and the Caribbean,Total,2015,99.39%,1
15-24,Brazil,male,Latin America and the Caribbean,Total,2015,98.60%,1
15-24,Chile,male,Latin America and the Caribbean,Total,2015,99.27%,1
15-24,Colombia,male,Latin America and the Caribbean,Total,2015,98.16%,1
15-24,Dominican Republic,male,Latin America and the Caribbean,Total,2015,97.23%,1
15-24,Ecuador,male,Latin America and the Caribbean,Total,2015,99.34%,1
15-24,El Salvador,male,Latin America and the Caribbean,Total,2015,97.46%,1
15-24,Honduras,male,Latin America and the Caribbean,Total,2015,94.99%,1
15-24,Mexico,male,Latin America and the Caribbean,Total,2015,98.87%,1
15-24,Nicaragua,male,Latin America and the Caribbean,Total,2015,89.64%,1
15-24,Paraguay,male,Latin America and the Caribbean,Total,2015,98.35%,1
15-24,Peru,male,Latin America and the Caribbean,Total,2015,99.24%,1
15-24,Uruguay,male,Latin America and the Caribbean,Total,2015,98.64%,1
15-24,Venezuela (Bolivarian Republic of),male,Latin America and the Caribbean,Total,2015,98.71%,1
15-24,Argentina,male,Latin America and the Caribbean,Total,2016,99.38%,1
15-24,Brazil,male,Latin America and the Caribbean,Total,2016,98.78%,1
15-24,Colombia,male,Latin America and the Caribbean,Total,2016,98.31%,1
15-24,Dominican Republic,male,Latin America and the Caribbean,Total,2016,98.81%,1
15-24,Ecuador,male,Latin America and the Caribbean,Total,2016,98.98%,1
15-24,El Salvador,male,Latin America and the Caribbean,Total,2016,97.72%,1
15-24,Haiti,male,Latin America and the Caribbean,Total,2016,83.35%,1
15-24,Honduras,male,Latin America and the Caribbean,Total,2016,94.95%,1
15-24,Mexico,male,Latin America and the Caribbean,Total,2016,99.03%,1
15-24,Paraguay,male,Latin America and the Caribbean,Total,2016,98.21%,1
15-24,Peru,male,Latin America and the Caribbean,Total,2016,99.09%,1
15-24,Uruguay,male,Latin America and the Caribbean,Total,2016,98.87%,1
15-24,Venezuela (Bolivarian Republic of),male,Latin America and the Caribbean,Total,2016,98.44%,1
15-24,Brazil,male,Latin America and the Caribbean,Total,2017,98.84%,1
15-24,Chile,male,Latin America and the Caribbean,Total,2017,99.01%,1
15-24,Ecuador,male,Latin America and the Caribbean,Total,2017,99.11%,1
15-24,El Salvador,male,Latin America and the Caribbean,Total,2017,97.80%,1
15-24,Mexico,male,Latin America and the Caribbean,Total,2017,99.08%,1
15-24,Peru,male,Latin America and the Caribbean,Total,2017,99.26%,1
15-24,Puerto Rico,male,Latin America and the Caribbean,Total,2017,92.39%,1
15-24,Uruguay,male,Latin America and the Caribbean,Total,2017,98.56%,1
15-24,Argentina,male,Latin America and the Caribbean,Total,2018,99.24%,1
15-24,Aruba,male,Latin America and the Caribbean,Total,2018,99.60%,1
15-24,Brazil,male,Latin America and the Caribbean,Total,2018,98.98%,1
15-24,Colombia,male,Latin America and the Caribbean,Total,2018,98.63%,1
15-24,Costa Rica,male,Latin America and the Caribbean,Total,2018,99.34%,1
15-24,Honduras,male,Latin America and the Caribbean,Total,2018,94.89%,1
15-24,Mexico,male,Latin America and the Caribbean,Total,2018,99.25%,1
15-24,Panama,male,Latin America and the Caribbean,Total,2018,99.31%,1
15-24,Paraguay,male,Latin America and the Caribbean,Total,2018,97.73%,1
15-24,Peru,male,Latin America and the Caribbean,Total,2018,99.08%,1
15-24,Suriname,male,Latin America and the Caribbean,Total,2018,98.88%,1
15-24,Uruguay,male,Latin America and the Caribbean,Total,2018,98.60%,1
15-24,Azerbaijan,male,Northern Africa and Western Asia,Total,2010,99.97%,1
15-24,Bahrain,male,Northern Africa and Western Asia,Total,2010,95.68%,1
